fbref_name,fpl_name,previous_league,multiplier,fbref_season,fbref_team,fbref_position,appearances,goals,assists,xG,xA,shots_per_90,goals_per_90,assists_per_90,yellow_cards,red_cards,clean_sheets,saves,save_percentage,adjusted_goals,adjusted_assists,adjusted_goals_per_90,adjusted_assists_per_90,season_reliability,data_confidence,is_new_to_pl,fpl_position,fpl_team,fpl_price
Caleb Yirenkyi,Caleb Yirenkyi,Superliga,1.0,N/A,Coventry City,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,low,1,MID,Coventry City,5.0
Zavier Gozo,Zavier Gozo,Other,1.0,N/A,Crystal Palace,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,low,1,MID,Crystal Palace,5.0
Darío Osorio,Darío Osorio,Superliga,1.0,N/A,Crystal Palace,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,low,1,MID,Crystal Palace,5.5
Jens Hjertø-Dahl,Jens Hjertø-Dahl,Eliteserien,1.0,N/A,Hull City,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,low,1,MID,Hull City,5.0
Elliot Stroud,Elliot Stroud,Allsvenskan,1.0,N/A,Hull City,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,low,1,MID,Hull City,5.0
Christos Mouzakitis,Christos Mouzakitis,Super League 1,1.0,N/A,Hull City,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,low,1,MID,Hull City,5.0
Daizen Maeda,Daizen Maeda,Premiership,1.0,N/A,Ipswich Town,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,low,1,MID,Ipswich Town,5.5
Divine Mukasa,Divine Mukasa,unknown,1.0,N/A,Man City,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,low,1,MID,Man City,4.5
Ewen Jaouen,Ewen Jaouen,Ligue 2,1.0,N/A,Newcastle,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,low,1,GK,Newcastle,4.5
Anthony Patterson,Anthony Patterson,unknown,1.0,N/A,Sunderland,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,low,1,GK,Sunderland,4.0
Remi Matthews,Remi Matthews,nan,1.0,N/A,Crystal Palace,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,low,1,GK,Crystal Palace,4.0
