player_id,gameweek,total_points,minutes,goals_scored,assists,clean_sheets,saves,bonus,value,was_home,transfers_in,transfers_out,opponent_team_id
447,1,2,90,0,0,0,0,0,6.0,0,0,0,1
395,1,14,90,1,0,1,0,2,5.0,1,0,0,20
606,1,0,0,0,0,0,0,0,4.5,1,0,0,12
374,1,0,0,0,0,0,0,0,4.0,1,0,0,20
502,1,0,0,0,0,0,0,0,5.0,0,0,0,4
427,1,2,90,0,0,0,0,0,5.0,1,0,0,2
453,1,1,89,0,0,0,0,0,5.0,0,0,0,1
381,1,0,0,0,0,0,0,0,5.0,1,0,0,20
284,1,0,0,0,0,0,0,0,4.0,0,0,0,9
92,1,1,18,0,0,0,0,0,4.5,1,0,0,18
136,1,0,0,0,0,0,0,0,4.0,1,0,0,12
623,1,0,0,0,0,0,0,0,4.5,1,0,0,11
597,1,9,90,0,0,1,6,1,5.0,1,0,0,20
343,1,5,90,0,1,1,0,0,6.5,0,0,0,6
527,1,1,1,0,0,0,0,0,5.5,0,0,0,3
274,1,0,0,0,0,0,0,0,4.0,0,0,0,9
301,1,0,0,0,0,0,0,0,4.0,0,0,0,7
269,1,0,0,0,0,0,0,0,5.0,0,0,0,9
75,1,0,30,0,0,0,0,0,4.5,1,0,0,19
125,1,0,0,0,0,0,0,0,5.0,1,0,0,12
158,1,0,0,0,0,0,0,0,5.0,1,0,0,13
481,1,0,0,0,0,0,0,0,5.0,1,0,0,8
279,1,0,0,0,0,0,0,0,4.5,0,0,0,9
172,1,0,0,0,0,0,0,0,4.5,1,0,0,13
165,1,2,90,0,0,0,0,0,5.0,1,0,0,13
116,1,0,0,0,0,0,0,0,4.0,1,0,0,18
4,1,0,0,0,0,0,0,0,5.5,1,0,0,16
223,1,3,90,0,0,1,0,0,5.0,0,0,0,17
555,1,0,0,0,0,0,0,0,4.5,0,0,0,14
632,1,0,0,0,0,0,0,0,4.5,1,0,0,20
305,1,0,0,0,0,0,0,0,5.0,0,0,0,7
512,1,0,76,0,0,0,0,0,4.5,0,0,0,4
551,1,2,90,0,0,0,0,0,4.5,0,0,0,14
573,1,0,0,0,0,0,0,0,4.5,0,0,0,14
522,1,2,90,0,0,0,0,0,4.5,0,0,0,3
377,1,0,0,0,0,0,0,0,5.0,1,0,0,20
261,1,2,90,0,0,0,0,0,5.0,1,0,0,10
289,1,0,0,0,0,0,0,0,4.0,0,0,0,7
645,1,0,0,0,0,0,0,0,5.0,1,0,0,10
19,1,10,90,1,0,0,0,3,8.5,1,0,0,16
109,1,0,0,0,0,0,0,0,5.0,1,0,0,18
469,1,1,89,0,0,0,0,0,4.5,0,0,0,1
41,1,0,26,0,0,0,0,0,4.5,0,0,0,15
66,1,0,0,0,0,0,0,0,5.0,1,0,0,19
547,1,0,0,0,0,0,0,0,4.0,0,0,0,14
203,1,1,14,0,0,0,0,0,4.0,1,0,0,11
316,1,0,90,0,0,0,0,0,4.0,0,0,0,5
248,1,0,0,0,0,0,0,0,5.0,1,0,0,10
208,1,0,0,0,0,0,0,0,5.5,1,0,0,11
595,1,2,90,0,0,0,0,0,4.5,1,0,0,19
317,1,1,2,0,0,0,0,0,5.0,0,0,0,5
45,1,0,0,0,0,0,0,0,4.0,0,0,0,15
229,1,0,0,0,0,0,0,0,5.0,0,0,0,17
415,1,13,67,2,0,0,0,3,7.5,1,0,0,2
658,1,0,0,0,0,0,0,0,4.5,0,0,0,17
451,1,1,1,0,0,0,0,0,5.0,0,0,0,1
2,1,0,0,0,0,0,0,0,4.0,1,0,0,16
188,1,0,0,0,0,0,0,0,6.5,1,0,0,11
418,1,0,0,0,0,0,0,0,4.5,1,0,0,2
656,1,1,3,0,0,0,0,0,4.5,1,0,0,8
112,1,1,90,0,0,0,0,0,4.5,1,0,0,18
651,1,0,0,0,0,0,0,0,4.5,0,0,0,9
470,1,2,90,0,0,0,0,0,5.0,0,0,0,1
111,1,0,0,0,0,0,0,0,5.0,1,0,0,18
219,1,0,0,0,0,0,0,0,4.5,0,0,0,17
63,1,2,90,0,0,0,0,0,5.5,1,0,0,19
215,1,0,0,0,0,0,0,0,4.0,1,0,0,11
228,1,6,90,0,0,1,0,0,4.5,0,0,0,17
247,1,0,0,0,0,0,0,0,4.5,1,0,0,10
294,1,1,65,0,0,0,0,0,8.0,0,0,0,7
652,1,0,0,0,0,0,0,0,4.5,0,0,0,9
360,1,1,1,0,0,0,0,0,4.5,0,0,0,6
355,1,13,79,2,0,1,0,3,14.0,0,0,0,6
163,1,0,0,0,0,0,0,0,5.0,1,0,0,13
390,1,0,0,0,0,0,0,0,6.5,1,0,0,20
154,1,2,77,0,0,1,0,0,6.0,1,0,0,12
287,1,0,0,0,0,0,0,0,5.0,0,0,0,9
604,1,0,71,0,0,0,0,0,4.5,0,0,0,1
365,1,13,90,1,1,1,0,2,5.5,0,0,0,6
386,1,1,45,0,0,0,0,0,4.5,1,0,0,20
349,1,1,22,0,0,0,0,0,10.5,0,0,0,6
636,1,0,0,0,0,0,0,0,4.0,0,0,0,1
