id,web_name,first_name,second_name,element_type,position,team,selected_by_percent,price,now_cost
741,O’Mahony,Mark,O’Mahony,4,FWD,5,0.0,4.5,45
742,Baker-Boaitey,Benicio,Baker-Boaitey,3,MID,5,0.0,4.5,45
746,Jackson,Ben,Jackson,2,DEF,5,0.0,4.0,40
747,Duffus,Joshua,Duffus,3,MID,5,0.0,4.5,45
753,Kavanagh,Leigh,Kavanagh,2,DEF,5,0.0,4.0,40
755,Barrington,Luca,Barrington,3,MID,5,0.0,4.5,45
786,Peupion,Cameron,Peupion,3,MID,5,0.0,4.5,45
816,Barco,Valentín,Barco,2,DEF,5,0.0,4.0,40
843,Chouchane,Samy,Chouchane,3,MID,5,0.0,4.5,45
845,Offiah,Odeluga,Offiah,2,DEF,5,0.0,4.0,40
861,Atom,Noël,Atom,2,DEF,5,0.0,4.0,40
156,Agyei,Enock,Agyei,3,MID,6,0.4,4.5,45
157,Al-Dakhil,Ameen,Al-Dakhil,2,DEF,6,1.2,4.0,40
158,Bastien,Samuel,Bastien,3,MID,6,0.0,5.0,50
159,Benson,Manuel Benson,Hedilazio,3,MID,6,0.1,5.5,55
160,Beyer,Jordan,Beyer,2,DEF,6,0.8,4.0,40
161,Brownhill,Josh,Brownhill,3,MID,6,0.2,5.0,50
162,Churlinov,Darko,Churlinov,3,MID,6,0.0,4.5,45
163,Cork,Jack,Cork,3,MID,6,0.0,5.0,50
164,Costelloe,Dara,Costelloe,3,MID,6,0.0,4.5,45
165,Cullen,Josh,Cullen,3,MID,6,0.1,5.0,50
166,Egan-Riley,CJ,Egan-Riley,2,DEF,6,0.1,4.0,40
167,Ekdal,Hjalmar,Ekdal,2,DEF,6,0.2,4.0,40
168,Foster,Lyle,Foster,4,FWD,6,0.4,5.0,50
169,Franchi,Denis,Franchi,1,GK,6,0.1,4.0,40
170,Gudmundsson,Jóhann Berg,Gudmundsson,3,MID,6,0.0,5.0,50
171,McNally,Luke,McNally,2,DEF,6,0.0,4.0,40
172,Muric,Arijanet,Muric,1,GK,6,0.6,4.5,45
173,O'Shea,Dara,O'Shea,2,DEF,6,0.3,4.5,45
174,Obafemi,Michael,Obafemi,4,FWD,6,0.0,5.0,50
175,Peacock-Farrell,Bailey,Peacock-Farrell,1,GK,6,0.0,4.0,40
176,Roberts,Connor,Roberts,2,DEF,6,0.1,4.5,45
177,Rodriguez,Jay,Rodriguez,4,FWD,6,0.2,5.5,55
178,Taylor,Charlie,Taylor,2,DEF,6,2.7,4.0,40
179,Thomas,Bobby,Thomas,2,DEF,6,0.0,4.0,40
180,Twine,Scott,Twine,3,MID,6,0.0,5.0,50
181,Vigouroux,Lawrence,Vigouroux,1,GK,6,0.2,4.0,40
182,Vitinho,Victor,da Silva,2,DEF,6,0.2,4.5,45
183,Weghorst,Wout,Weghorst,4,FWD,6,0.0,5.5,55
184,Zaroury,Anass,Zaroury,3,MID,6,0.0,5.0,50
200,D.D.Fofana,David Datro,Fofana,4,FWD,6,0.2,5.0,50
475,Berge,Sander,Berge,3,MID,6,0.1,5.0,50
594,Amdouni,Zeki,Amdouni,4,FWD,6,0.2,5.5,55
596,Trafford,James,Trafford,1,GK,6,0.9,4.5,45
600,Redmond,Nathan,Redmond,3,MID,6,0.0,5.0,50
605,Koleosho,Luca,Koleosho,3,MID,6,0.0,5.0,50
608,Bruun Larsen,Jacob,Bruun Larsen,3,MID,6,0.1,5.0,50
622,Dodgson,Owen,Dodgson,2,DEF,6,0.0,4.0,40
660,Odobert,Wilson,Odobert,3,MID,6,0.1,5.0,50
674,Delcroix,Hannes,Delcroix,2,DEF,6,0.1,4.0,40
675,A.Ramsey,Aaron,Ramsey,3,MID,6,0.0,5.0,50
694,Massengo,Han-Noah,Massengo,3,MID,6,0.0,5.0,50
706,M.Trésor,Mike,Trésor,3,MID,6,0.0,5.5,55
805,Assignon,Lorenz,Assignon,2,DEF,6,0.2,4.0,40
806,Estève,Maxime,Esteve,2,DEF,6,0.0,4.0,40
126,Caicedo,Moisés,Caicedo Corozo,3,MID,7,1.2,5.0,50
145,Sanchez,Robert,Sánchez,1,GK,7,2.2,4.5,45
185,Ampadu,Ethan,Ampadu,2,DEF,7,0.0,4.0,40
