Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag
16,Vurnon Anita,cw CUW,MF,RKC Waalwijk,32,1989,32,32,2730,30.3,1,1,2,1,0,0,3,0,0.03,0.03,0.07,0.03,0.07,Matches,Eredivisie,2021-22
17,Antony,br BRA,"MF,FW",Ajax,21,2000,23,21,1724,19.2,8,4,12,8,0,0,5,1,0.42,0.21,0.63,0.42,0.63,Matches,Eredivisie,2021-22
18,Samuel Armenteros,se SWE,FW,Heracles Almelo,31,1990,9,0,211,2.3,1,0,1,1,0,0,0,0,0.43,0.00,0.43,0.43,0.43,Matches,Eredivisie,2021-22
19,Adil Auassar,nl NED,"DF,MF",Sparta Rotterdam,34,1986,32,31,2475,27.5,3,1,4,3,0,0,7,0,0.11,0.04,0.15,0.11,0.15,Matches,Eredivisie,2021-22
20,Sebbe Augustijns,be BEL,MF,RKC Waalwijk,21,1999,4,1,145,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
21,Fredrik Aursnes,no NOR,MF,Feyenoord,25,1995,33,27,2488,27.6,1,4,5,1,0,0,6,0,0.04,0.14,0.18,0.04,0.18,Matches,Eredivisie,2021-22
22,Aventis Aventisian,am ARM,DF,Go Ahead Eagles,18,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
23,Ayman Azhil,ma MAR,MF,RKC Waalwijk,20,2001,28,20,1678,18.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
24,Ismail Azzaoui,be BEL,MF,Heracles Almelo,23,1998,12,3,436,4.8,3,1,4,3,0,0,0,0,0.62,0.21,0.83,0.62,0.83,Matches,Eredivisie,2021-22
25,Aliou Badara Baldé,gn GUI,FW,Feyenoord,18,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
26,Nikolai Baden Frederiksen,dk DEN,"FW,MF",Vitesse,21,2000,24,17,1304,14.5,7,1,8,7,0,0,2,0,0.48,0.07,0.55,0.48,0.55,Matches,Eredivisie,2021-22
27,Samy Baghdadi,fr FRA,"MF,FW",Fortuna Sittard,24,1997,10,4,436,4.8,1,0,1,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches,Eredivisie,2021-22
28,Saïd Bakari,km COM,"MF,DF",RKC Waalwijk,26,1994,31,27,2364,26.3,1,3,4,1,0,0,1,0,0.04,0.11,0.15,0.04,0.15,Matches,Eredivisie,2021-22
29,Johan Bakayoko,be BEL,"FW,MF",PSV,18,2003,3,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
30,Navajo Bakboord,nl NED,DF,Heracles Almelo,22,1999,9,6,484,5.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
31,Sinan Bakış,tr TUR,FW,Heracles Almelo,27,1994,31,17,1528,17.0,6,0,6,6,0,0,2,1,0.35,0.00,0.35,0.35,0.35,Matches,Eredivisie,2021-22
32,Justin Bakker,nl NED,DF,Go Ahead Eagles,23,1998,13,7,735,8.2,1,1,2,0,1,1,0,0,0.12,0.12,0.24,0.00,0.12,Matches,Eredivisie,2021-22
33,Nick Bakker,nl NED,DF,Heerenveen,29,1992,19,18,1634,18.2,2,1,3,2,0,0,1,0,0.11,0.06,0.17,0.11,0.17,Matches,Eredivisie,2021-22
34,Remco Balk,nl NED,MF,Utrecht,20,2001,17,5,446,5.0,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,Eredivisie,2021-22
35,Alex Bangura,sl SLE,DF,Cambuur,22,1999,27,27,2413,26.8,3,0,3,3,0,0,8,1,0.11,0.00,0.11,0.11,0.11,Matches,Eredivisie,2021-22
36,Naoufal Bannis,nl NED,FW,Feyenoord,19,2002,2,0,16,0.2,1,0,1,1,0,0,0,0,5.63,0.00,5.63,5.63,5.63,Matches,Eredivisie,2021-22
37,Yusuf Barasi,tr TUR,"FW,MF",AZ Alkmaar,18,2003,3,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
38,Édgar Barreto,py PAR,"MF,DF",NEC Nijmegen,37,1984,19,14,1244,13.8,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches,Eredivisie,2021-22
39,Bilal Başaçıkoğlu,tr TUR,"MF,FW",Heracles Almelo,26,1995,27,19,1480,16.4,1,2,3,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18,Matches,Eredivisie,2021-22
40,Cole Bassett,us USA,MF,Feyenoord,20,2001,7,0,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches,Eredivisie,2021-22
