player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Gbane Mory,ciCIV,2.4,Gil Vicente FC,23,2000,16.3,,23,,,,,,,,,,,38,,,,Matches
Geovanny,ptPOR,3.0,Farense,20,2004,1.8,,2,,,,,,,,,,,0,,,,Matches
Geraldes André,ptPOR,2.4,Casa Pia,33,1991,14.9,,9,,,,,,,,,,,13,,,,Matches
Gharbi Ismaël,tnTUN,3.0,Braga,20,2004,11.8,,16,,,,,,,,,,,6,,,,Matches
Ginkel Marco,nlNED,3.4,Boavista,31,1992,7.6,,6,,,,,,,,,,,2,,,,Matches
Gomes José,ptPOR,2.0,Nacional,28,1996,26.0,,22,,,,,,,,,,,24,,,,Matches
gomes Pedro,ptPOR,2.0,Boavista,21,2003,16.1,,27,,,,,,,,,,,16,,,,Matches
Gomes Vítor,ptPOR,3.0,Rio Ave,36,1987,1.0,,0,,,,,,,,,,,3,,,,Matches
Gomes William,brBRA,4.0,Porto,18,2006,1.7,,6,,,,,,,,,,,1,,,,Matches
Gomez Victor,esESP,2.0,Braga,24,2000,21.2,,26,,,,,,,,,,,24,,,,Matches
Gonçalo Moreira Nuno,ptPOR,3.5,Casa Pia,25,1999,16.6,,24,,,,,,,,,,,6,,,,Matches
Gonçalves Franscisco,ptPOR,2.0,Nacional,20,2004,0.2,,2,,,,,,,,,,,0,,,,Matches
Gonçalves João,ptPOR,1.0,Boavista,23,2000,4.0,,0,,,,,,,,,,,0,,,,Matches
Gonçalves Pedro,ptPOR,3.4,Sporting CP,26,1998,9.7,,4,,,,,,,,,,,5,,,,Matches
González Cristo,esESP,3.0,Arouca,26,1997,2.0,,1,,,,,,,,,,,0,,,,Matches
González Mario,esESP,4.0,Famalicão,28,1996,6.4,,1,,,,,,,,,,,0,,,,Matches
González Nicolás,esESP,3.0,Porto,22,2002,16.0,,18,,,,,,,,,,,8,,,,Matches
Gorby Jean,frFRA,3.0,Braga,22,2002,13.5,,12,,,,,,,,,,,24,,,,Matches
Goulart Silva João,ptPOR,2.0,Casa Pia,24,2000,31.5,,23,,,,,,,,,,,38,,,,Matches
Gouveia Tiago,ptPOR,3.0,Benfica,23,2001,1.1,,3,,,,,,,,,,,0,,,,Matches
Gozalbez Pablo,esESP,3.0,Arouca,23,2001,7.2,,6,,,,,,,,,,,3,,,,Matches
Graça João,ptPOR,3.4,Rio Ave,29,1995,5.5,,8,,,,,,,,,,,2,,,,Matches
Granada Samuel,brBRA,4.0,AVS Futebol,24,2000,2.7,,1,,,,,,,,,,,0,,,,Matches
Grau Jaume,esESP,3.0,AVS Futebol,27,1997,23.5,,42,,,,,,,,,,,35,,,,Matches
Grujić Marko,rsSRB,3.0,Porto,28,1996,0.4,,0,,,,,,,,,,,0,,,,Matches
Gudžulić Marko,rsSRB,1.0,Estrela,22,2002,2.0,,0,,,,,,,,,,,0,,,,Matches
Guitane Rafik,frFRA,3.5,Estoril,25,1999,9.5,,7,,,,,,,,,,,2,,,,Matches
Guitane Rafik,frFRA,3.5,Braga,25,1999,0.0,,0,,,,,,,,,,,0,,,,Matches
Gül Deniz,trTUR,4.0,Porto,20,2004,4.9,,0,,,,,,,,,,,0,,,,Matches
Gyökeres Viktor,seSWE,4.0,Sporting CP,26,1998,31.2,,6,,,,,,,,,,,5,,,,Matches
Haas Justin,nlNED,2.0,Famalicão,24,2000,27.4,,23,,,,,,,,,,,50,,,,Matches
Habraão,brBRA,2.0,Santa Clara,23,2001,0.0,,0,,,,,,,,,,,0,,,,Matches
Händel Tomás,ptPOR,3.0,Vitória Guimarães,23,2000,28.0,,25,,,,,,,,,,,36,,,,Matches
