player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Dahl Samuel,seSWE,2.4,Benfica,24,2000,6.6,0,0,0,6,12,3,43,5,5,,,0,Matches
Dante Amadou,mlMLI,2.3,Arouca,23,2000,11.8,1,0,0,7,11,1,25,16,23,,,0,Matches
De Amorim Mathias,ptPOR,3.0,Famalicão,19,2004,11.9,4,0,0,26,33,1,12,16,23,,,0,Matches
Debast Zeno,beBEL,2.4,Sporting CP,20,2003,23.6,3,0,0,28,17,0,51,27,27,,,0,Matches
Depú,aoANG,4.0,Gil Vicente FC,24,2000,0.5,0,0,0,1,0,1,0,0,0,,,0,Matches
Derick,brBRA,2.4,Farense,30,1993,15.7,3,0,0,23,14,0,59,12,13,,,0,Matches
Di María Ángel,arARG,3.5,Benfica,36,1988,18.3,5,0,0,17,28,10,136,8,7,,,0,Matches
Diaby Abdoulay,mlMLI,3.5,Boavista,33,1991,9.9,1,0,0,15,11,5,9,5,4,,,0,Matches
Dias Matheus,brBRA,2.4,Nacional,22,2002,19.4,7,0,0,41,22,0,5,37,34,,,0,Matches
Dias Tiago,ptPOR,4.0,Casa Pia,26,1998,0.8,1,0,0,1,1,0,24,0,1,,,0,Matches
Diomande Ousmane,ciCIV,2.0,Sporting CP,20,2003,28.0,7,2,1,42,17,5,0,31,20,,,0,Matches
Djaló Tiago,ptPOR,2.0,Porto,24,2000,6.6,2,0,0,7,8,1,0,3,7,,,0,Matches
Dominguez Maxime,chSUI,3.0,Gil Vicente FC,28,1996,2.8,0,0,0,0,4,1,4,4,5,,,0,Matches
Dramé Issiar,mlMLI,2.0,Estrela,25,1999,17.7,3,0,0,26,15,1,1,23,10,,,1,Matches
Dudu,brBRA,3.4,Nacional,24,1999,14.9,0,0,0,22,25,6,10,7,19,,,0,Matches
Eduardo Carlos,brBRA,4.0,Gil Vicente FC,21,2002,2.7,1,0,0,4,5,0,3,0,1,,,0,Matches
Edwards Marcus,engENG,3.0,Sporting CP,25,1998,1.2,0,0,0,0,3,0,3,0,0,,,0,Matches
Ege Tıknaz Demir,trTUR,3.0,Rio Ave,19,2004,22.0,7,0,0,41,19,1,4,47,38,,,0,Matches
Elimbi Marvin,frFRA,2.0,Gil Vicente FC,21,2003,4.8,2,0,0,13,3,0,0,5,4,,,0,Matches
Elisor Simon,frFRA,4.0,Famalicão,25,1999,6.6,2,0,0,22,20,1,3,2,0,,,0,Matches
Embaló Úmaro,ptPOR,3.0,Vitória Guimarães,23,2001,1.6,0,0,0,3,6,2,10,1,2,,,0,Matches
Encarnação Rui,ptPOR,1.0,Nacional,26,1998,1.5,1,1,0,0,0,0,0,0,0,,,0,Matches
Esgaio Ricardo,ptPOR,2.0,Sporting CP,31,1993,2.6,0,1,0,3,1,0,3,3,3,,,1,Matches
Esgaio Tiago,ptPOR,2.0,Arouca,28,1995,24.2,2,0,0,35,17,0,44,38,38,,,1,Matches
Essugo Dario,ptPOR,3.0,Sporting CP,19,2005,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Esteves Luís,ptPOR,3.0,Nacional,26,1998,31.2,6,0,0,34,59,3,48,16,34,,,0,Matches
Eustáquio Stephen,caCAN,2.4,Porto,27,1996,21.3,7,0,0,36,22,2,31,23,31,,,0,Matches
Evanilson,brBRA,4.0,Porto,24,1999,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Falcão Claudio,brBRA,2.3,Farense,30,1994,31.7,10,1,1,68,14,2,4,42,62,,,0,Matches
Felicíssimo Eduardo,ptPOR,3.0,Sporting CP,17,2007,2.2,1,0,0,5,2,0,0,5,6,,,0,Matches
Felix Nuno,ptPOR,3.0,Benfica,20,2004,0.2,1,0,0,2,1,0,0,0,0,,,0,Matches
Félix Vando,gwGNB,3.0,Vitória Guimarães,21,2002,6.1,2,0,0,17,16,0,6,7,4,,,0,Matches
Fernandes Jorge Filipe Oliveira,ptPOR,2.0,Vitória Guimarães,27,1997,4.6,0,0,0,3,1,0,0,4,7,,,0,Matches
Fernandes Lucas,brBRA,3.0,AVS Futebol,26,1997,5.5,1,0,0,12,17,0,8,1,3,,,0,Matches
Fernandes Martim,ptPOR,2.0,Porto,18,2006,14.6,5,0,0,16,17,1,51,11,15,,,0,Matches
Fernandes Mateus,ptPOR,3.0,Sporting CP,20,2004,0.3,0,0,0,1,1,0,1,0,0,,,0,Matches
Fernandes Roger,ptPOR,3.0,Braga,18,2005,19.3,2,0,0,25,39,3,125,21,18,,,0,Matches
Fernandes Rúben,ptPOR,2.0,Gil Vicente FC,38,1986,27.8,4,1,0,12,12,2,2,29,13,,,0,Matches
Férnandez Roberto,esESP,4.0,Braga,22,2002,5.6,1,0,0,6,8,7,2,0,1,,,0,Matches
Ferreira Barros João,ptPOR,3.0,Boavista,18,2006,2.9,1,0,0,5,3,1,6,3,9,,,0,Matches
Ferreira Filipe,ptPOR,2.0,Boavista,33,1990,24.7,3,0,0,13,12,1,44,26,16,,,1,Matches
Ferreira Fonseca Fernando,ptPOR,2.3,AVS Futebol,27,1997,21.2,9,0,0,29,33,0,53,32,38,,,0,Matches
Ferreira João,ptPOR,2.0,Braga,23,2001,14.6,6,0,0,26,12,0,24,12,20,,,0,Matches
Ferreira Marcelo dos Santos,brBRA,2.0,Moreirense,35,1989,33.0,7,0,0,37,27,1,0,32,31,,,0,Matches
Ferreira Pedro,ptPOR,3.0,Santa Clara,26,1998,20.3,8,0,0,30,13,0,23,36,51,,,0,Matches
Ferreira Tiago,ptPOR,4.0,Estrela,22,2002,0.6,0,0,0,0,0,0,3,1,2,,,0,Matches
Figueira Daniel,ptPOR,1.0,Estoril,26,1998,1.0,0,0,0,1,0,0,0,0,0,,,0,Matches
Fogning Sidoine,cmCMR,2.0,Boavista,22,2001,13.0,3,0,0,10,8,0,3,14,19,,,0,Matches
Fonseca Morais Tiago,ptPOR,3.4,Rio Ave,20,2003,17.4,1,0,0,29,42,2,22,11,17,,,0,Matches
Fontán José,esESP,2.0,Arouca,24,2000,28.8,10,0,0,48,13,1,3,28,15,,,1,Matches
Fonte José,ptPOR,2.0,Casa Pia,40,1983,22.5,5,1,0,15,11,0,1,26,13,,,0,Matches
França Lucas,brBRA,1.0,Nacional,28,1996,32.5,5,0,0,0,15,0,0,0,0,,,0,Matches
Franco André,ptPOR,3.0,Porto,26,1998,4.8,4,0,0,9,10,1,15,5,1,,,0,Matches
