player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Costa Logan,cvCPV,2.0,Villarreal,23,2001,28.7,3,0,0,19,3,2,5,23,21,,,0,Matches
Costa Samu,ptPOR,3.0,Mallorca,23,2000,29.4,10,1,1,62,63,2,21,32,42,,,0,Matches
Courtois Thibaut,beBEL,1.0,Real Madrid,32,1992,30.0,1,0,0,0,2,0,0,1,0,,,1,Matches
Cruz Armada Juan,esESP,2.0,Osasuna,32,1992,16.6,4,0,0,16,2,2,10,9,15,,,0,Matches
Cruz Juan,esESP,2.4,Leganés,24,2000,25.1,2,0,0,14,23,7,91,13,16,,,0,Matches
Cubarsí Pau,esESP,2.0,Barcelona,17,2007,29.1,3,0,0,24,9,0,2,18,24,,,0,Matches
Cucho,coCOL,4.0,Real Betis,25,1999,12.7,0,0,0,10,9,5,12,7,10,,,0,Matches
Danjuma Arnaut,nlNED,4.0,Villarreal,27,1997,2.2,1,0,0,1,1,3,0,0,1,,,0,Matches
Danjuma Arnaut,nlNED,3.4,Girona,27,1997,14.8,2,0,0,17,16,14,76,3,6,,,0,Matches
Darder Sergi,esESP,3.0,Mallorca,30,1993,30.5,4,0,0,21,37,3,159,15,26,,,0,Matches
De Paul Rodrigo,arARG,3.0,Atlético Madrid,30,1994,23.4,7,0,0,19,49,0,57,6,24,,,0,Matches
Diakhaby Mouctar,gnGUI,2.0,Valencia,27,1996,7.3,0,0,0,2,4,0,1,10,4,,,0,Matches
Diao Assane,snSEN,4.0,Real Betis,18,2005,3.1,0,0,0,4,4,2,4,0,3,,,0,Matches
Diarra Moussa,mlMLI,2.0,Alavés,23,2000,20.7,6,0,0,28,24,1,20,17,23,,,0,Matches
