player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Mebude Dire,sctSCO,3.0,Westerlo,19,2004,1.1,0,0,0,0,0,0,1,1,1,,,0,Matches
Mechele Brandon,beBEL,2.0,Club Brugge,30,1993,39.8,3,0,0,31,15,0,2,66,44,,,0,Matches
Mehssatou Nayel,clCHI,2.4,Kortrijk,21,2002,27.3,7,0,0,29,31,3,82,23,31,,,0,Matches
Meijer Bjorn,nlNED,2.0,Club Brugge,20,2003,20.3,0,0,0,11,12,5,71,19,22,,,0,Matches
Mendyl Hamza,maMAR,2.4,OH Leuven,25,1997,19.7,10,1,1,26,7,1,41,19,15,,,0,Matches
Mercier Xavier,frFRA,3.4,RWDM,34,1989,17.9,2,0,0,10,14,0,120,1,6,,,0,Matches
Messaoudi Billal,dzALG,4.0,Kortrijk,25,1997,0.3,0,0,0,0,0,2,0,0,0,,,0,Matches
Miangue Senna,beBEL,2.0,Cercle Brugge,26,1997,8.4,4,1,1,11,1,0,16,11,14,,,0,Matches
Mighten Alex,engENG,3.0,Kortrijk,21,2002,2.7,1,0,0,3,12,0,5,2,1,,,0,Matches
Mignolet Simon,beBEL,1.0,Club Brugge,35,1988,31.1,2,0,0,1,4,0,0,1,0,,,0,Matches
Miguel Florian,frFRA,2.3,OH Leuven,26,1996,20.7,4,0,0,25,25,3,27,30,19,,,0,Matches
Minda Alan,ecECU,3.4,Cercle Brugge,20,2003,22.5,3,0,0,13,11,12,22,1,7,,,0,Matches
Misao Kento,jpJPN,3.0,OH Leuven,27,1996,9.6,4,0,0,25,8,0,3,7,15,,,0,Matches
Mitrović Stefan,rsSRB,2.0,Gent,33,1990,11.3,2,0,0,10,3,0,0,14,12,,,0,Matches
Möhwald Kevin,deGER,3.0,Eupen,30,1993,15.7,4,0,0,22,21,1,30,14,23,,,0,Matches
Mokio Jorthy,beBEL,2.0,Gent,15,2008,1.4,0,0,0,0,0,0,0,1,1,,,0,Matches
Montegnies Lars,beBEL,3.0,Kortrijk,17,2005,1.9,1,0,0,3,0,0,0,5,3,,,0,Matches
Monticelli Luca,beBEL,3.0,Anderlecht,18,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Monticelli Roméo,beBEL,3.0,Charleroi,17,2005,1.3,1,0,0,2,2,0,2,2,1,,,0,Matches
Morioka Ryota,jpJPN,3.0,Charleroi,32,1991,11.3,0,0,0,22,11,1,19,24,25,,,0,Matches
Moris Anthony,luLUX,1.0,Union SG,33,1990,38.8,2,1,0,1,9,0,0,0,0,,,0,Matches
Mrabti Kerim,seSWE,3.4,Mechelen,29,1994,38.0,4,0,0,36,30,4,46,34,34,,,0,Matches
Mueanta Suphanat,thTHA,4.0,OH Leuven,20,2002,4.2,0,0,0,0,3,2,7,3,2,,,0,Matches
Muja Arbnor,alALB,3.4,Antwerp,24,1998,13.4,3,0,0,10,16,5,34,4,15,,,0,Matches
Mukau Ngal'Ayel,cdCOD,3.0,Mechelen,18,2004,21.3,2,0,0,19,16,0,0,41,50,,,0,Matches
Mundle Romaine,engENG,3.0,Standard Liège,20,2003,1.7,1,0,0,5,7,0,6,1,5,,,0,Matches
Muñoz Daniel,coCOL,2.0,Genk,27,1996,16.0,5,0,0,26,22,2,25,26,24,,,0,Matches
N'Diaye Moussa,snSEN,2.0,Anderlecht,21,2002,7.4,1,0,0,8,21,0,5,12,16,,,0,Matches
N'dri Konan,ciCIV,3.4,OH Leuven,22,2000,5.6,1,0,0,11,13,2,22,3,9,,,0,Matches
Nardi Paul,frFRA,1.0,Gent,29,1994,10.0,0,0,0,0,4,0,0,0,0,,,0,Matches
Nazinho Flávio,ptPOR,2.3,Cercle Brugge,20,2003,12.9,5,1,1,23,14,3,97,14,15,,,0,Matches
Neustädter Roman,ruRUS,2.0,Westerlo,35,1988,27.3,2,0,0,17,4,0,0,38,24,,,0,Matches
Ngawa Pierre-Yves,beBEL,2.0,OH Leuven,31,1992,0.8,0,0,0,1,0,0,0,1,2,,,0,Matches
Ngoy Julien,beBEL,3.0,Mechelen,25,1997,1.5,1,0,0,3,2,1,2,0,0,,,0,Matches
Ngoy Nathan,beBEL,2.0,Standard Liège,20,2003,13.1,6,1,0,11,13,1,3,35,18,,,0,Matches
Nhaili Adam,beBEL,4.0,Sint-Truiden,17,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Nielsen Casper,dkDEN,3.0,Club Brugge,29,1994,16.1,3,0,0,33,16,1,78,12,23,,,0,Matches
Nieuwkoop Bart,nlNED,3.0,Union SG,27,1996,2.0,0,0,0,5,2,0,6,3,2,,,0,Matches
Nilsson Gustaf,seSWE,4.0,Union SG,26,1997,25.4,9,0,0,44,42,8,10,7,11,,,0,Matches
Nkuba Ken,beBEL,3.0,Charleroi,21,2002,1.7,0,0,0,6,6,0,14,3,6,,,0,Matches
Nkuba Ken,beBEL,3.0,Genk,21,2002,0.8,0,0,0,1,0,0,6,1,4,,,0,Matches
