player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Can Emre,deGER,2.3,Dortmund,30,1994,23.4,4,1,0,25,19,0,10,20,27,,,0,Matches
Cardoso Tiago,luLUX,1.0,Gladbach,18,2006,4.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Ceesay Abdoulie,gmGAM,4.0,St Pauli,20,2004,0.7,1,0,0,2,3,0,0,0,3,,,0,Matches
Chabot Julian,deGER,2.0,Stuttgart,26,1998,25.2,11,1,1,35,28,5,2,35,25,,,0,Matches
Chadaille Bitshiabu El,frFRA,2.0,RB Leipzig,19,2005,12.6,2,1,0,8,2,0,4,13,19,,,0,Matches
Chaïbi Fares,dzALG,3.0,Eintracht Frankfurt,21,2002,11.3,2,0,0,5,7,1,72,10,10,,,0,Matches
Chandler Timothy,usUSA,2.3,Eintracht Frankfurt,34,1990,0.3,0,0,0,0,2,0,1,2,0,,,0,Matches
Chase Anrie,jpJPN,2.0,Stuttgart,20,2004,8.2,1,0,0,12,2,0,4,9,5,,,0,Matches
Chaves Arthur,brBRA,2.0,Hoffenheim,23,2001,24.3,8,0,0,38,19,1,8,38,35,,,0,Matches
Chiarodia Fabio,itITA,2.0,Gladbach,19,2005,4.2,0,0,0,7,0,0,0,9,4,,,0,Matches
Chukwuemeka Carney,engENG,3.0,Dortmund,20,2003,2.8,1,0,0,4,5,1,1,1,5,,,0,Matches
Claude-Maurice Alexis,frFRA,3.4,Augsburg,26,1998,23.4,4,0,0,26,42,3,21,15,26,,,0,Matches
Collins Nnamdi,deGER,2.3,Eintracht Frankfurt,20,2004,16.5,4,0,0,26,22,0,17,18,24,,,0,Matches
Coman Kingsley,frFRA,3.0,Bayern Munich,28,1996,14.2,0,0,0,9,12,8,47,8,11,,,0,Matches
Conteh Sirlord,deGER,3.4,Heidenheim,28,1996,9.9,2,0,0,8,11,4,21,0,5,,,0,Matches
Costa Danny,deGER,2.0,Mainz 05,31,1993,22.3,0,0,0,19,4,0,22,29,24,,,0,Matches
Couto Yan,brBRA,2.3,Dortmund,22,2002,9.9,5,0,0,12,7,0,53,10,16,,,0,Matches
Čvančara Tomáš,czCZE,3.4,Gladbach,23,2000,9.2,5,1,1,11,6,1,15,4,0,,,0,Matches
Dahmen Finn,deGER,1.0,Augsburg,26,1998,19.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Dähne Thomas,deGER,1.0,Holstein Kiel,30,1994,9.0,0,0,0,1,1,0,0,0,0,,,0,Matches
Dahoud Mahmoud,deGER,3.0,Eintracht Frankfurt,28,1996,4.0,2,0,0,10,2,0,4,2,4,,,0,Matches
Dakhil Ameen,beBEL,2.0,Stuttgart,22,2002,4.8,0,1,0,4,5,0,0,9,6,,,0,Matches
Dárdai Bence,huHUN,3.0,Wolfsburg,18,2006,14.5,0,0,0,9,16,0,10,12,14,,,0,Matches
Daschner Lukas,deGER,3.5,Bochum,25,1998,4.6,0,0,0,4,2,0,19,0,2,,,0,Matches
Davies Alphonso,caCAN,2.0,Bayern Munich,23,2000,17.3,0,0,0,8,26,3,19,13,16,,,0,Matches
Deman Olivier,beBEL,2.5,Werder Bremen,24,2000,0.7,1,0,0,1,2,0,6,4,3,,,0,Matches
Demirović Ermedin,baBIH,4.0,Stuttgart,26,1998,20.6,2,0,0,24,27,18,3,1,7,,,0,Matches
Diehl Justin,deGER,3.0,Stuttgart,19,2004,1.2,0,0,0,2,0,0,10,0,0,,,0,Matches
Dier Eric,engENG,2.0,Bayern Munich,30,1994,16.3,1,0,0,16,4,1,2,14,12,,,0,Matches
Dina Ebimbe Junior,cmCMR,3.0,Eintracht Frankfurt,23,2000,3.3,0,0,0,10,4,1,8,7,2,,,0,Matches
Dinkçi Eren,deGER,3.0,Freiburg,22,2001,13.3,1,0,0,9,6,1,16,7,14,,,0,Matches
Doan Ritsu,jpJPN,3.0,Freiburg,26,1998,31.8,2,0,0,27,56,8,80,14,43,,,0,Matches
Doekhi Danilho,nlNED,2.0,Union Berlin,26,1998,34.0,4,0,0,36,14,2,10,44,23,,,0,Matches
Dorsch Niklas,deGER,3.0,Augsburg,26,1998,0.4,0,0,0,0,2,0,1,0,0,,,0,Matches
Dorsch Niklas,deGER,3.0,Heidenheim,26,1998,14.8,5,1,0,15,20,0,36,16,18,,,0,Matches
Drewes Patrick,deGER,1.0,Bochum,31,1993,21.0,2,0,0,1,3,0,0,0,0,,,0,Matches
Drexler Tim,deGER,2.0,Hoffenheim,19,2005,4.0,2,0,0,8,2,0,1,0,8,,,0,Matches
Ducksch Marvin,deGER,4.0,Werder Bremen,30,1994,26.9,3,0,0,6,17,14,169,7,6,,,0,Matches
