player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Hergault Jérôme,frFRA,2.3,Lorient,35,1986,3.9,,3,,,,,,,,,,,4,,,,Matches
Herrera Ander,esESP,3.0,Paris Saint-Germain,31,1989,12.1,,16,,,,,,,,,,,17,,,,Matches
Honorat Franck,frFRA,3.4,Brest,24,1996,32.2,,38,,,,,,,,,,,16,,,,Matches
Hornby Fraser,sctSCO,4.0,Reims,21,1999,3.9,,1,,,,,,,,,,,4,,,,Matches
Hountondji Cédric,bjBEN,2.0,Clermont Foot,27,1994,22.6,,18,,,,,,,,,,,36,,,,Matches
Hyun-jun Suk,krKOR,4.0,Troyes,30,1991,1.7,,0,,,,,,,,,,,0,,,,Matches
Icardi Mauro,arARG,4.0,Paris Saint-Germain,28,1993,11.4,,3,,,,,,,,,,,5,,,,Matches
Iglesias Jonathan,uyURU,3.0,Clermont Foot,32,1988,6.4,,11,,,,,,,,,,,5,,,,Matches
Ignacio Ramírez Juan,uyURU,4.0,Saint-Étienne,24,1997,1.4,,0,,,,,,,,,,,0,,,,Matches
Ihnatenko Danylo,uaUKR,3.0,Bordeaux,24,1997,7.7,,10,,,,,,,,,,,5,,,,Matches
Ikone Jonathan,frFRA,3.4,Lille,23,1998,11.8,,3,,,,,,,,,,,3,,,,Matches
Innocent Bonke,ngNGA,3.0,Lorient,25,1996,9.7,,18,,,,,,,,,,,16,,,,Matches
Isidor Wilson,frFRA,3.5,Monaco,20,2000,0.6,,0,,,,,,,,,,,0,,,,Matches
Jakobs Ismail,snSEN,2.3,Monaco,21,1999,13.4,,17,,,,,,,,,,,14,,,,Matches
Jakoliš Marin,hrCRO,4.0,Angers,24,1996,2.5,,1,,,,,,,,,,,1,,,,Matches
