player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Fonseca Morais Tiago,ptPOR,3.0,Lille,19,2003,0.5,0,0,0,1,0,0,1,1,1,,,0,Matches
Frankowski Przemysław,plPOL,3.0,Lens,28,1995,24.4,4,0,0,33,12,0,118,24,39,,,0,Matches
Fulgini Angelo,frFRA,3.0,Lens,26,1996,15.3,1,0,0,8,25,1,112,8,14,,,0,Matches
Gameiro Kévin,frFRA,3.5,Strasbourg,36,1987,15.0,0,0,0,3,6,3,10,3,10,,,0,Matches
Ganago Ignatius,cmCMR,3.4,Nantes,24,1999,2.0,0,0,0,2,6,1,6,1,0,,,0,Matches
Garcia Ulisses,chSUI,2.3,Marseille,27,1996,10.1,0,0,0,14,11,0,48,7,16,,,0,Matches
Gastien Johan,frFRA,3.0,Clermont Foot,35,1988,25.1,7,0,0,32,29,1,40,37,22,,,0,Matches
Gboho Yann,frFRA,3.4,Toulouse,22,2001,13.3,1,0,0,9,37,2,14,4,4,,,0,Matches
Gelabert,esESP,3.4,Toulouse,22,2000,8.4,1,0,0,10,14,0,9,4,8,,,0,Matches
Genreau Denis,auAUS,3.0,Toulouse,24,1999,5.2,0,0,0,9,9,0,7,6,9,,,0,Matches
Gigot Samuel,frFRA,2.0,Marseille,29,1993,19.2,7,1,0,21,14,1,6,25,22,,,0,Matches
Golovin Aleksandr,ruRUS,3.0,Monaco,27,1996,23.9,8,1,0,25,36,3,111,23,29,,,0,Matches
Gomes Angel,engENG,3.0,Lille,22,2000,28.6,5,0,0,31,37,0,45,18,13,,,0,Matches
Gonalons Maxime,frFRA,3.0,Clermont Foot,34,1989,14.4,4,0,0,29,15,0,2,19,33,,,0,Matches
Gorgelin Mathieu,frFRA,1.0,Le Havre,32,1990,1.0,1,0,0,0,0,0,0,0,0,,,0,Matches
Gouiri Amine,dzALG,3.5,Rennes,23,2000,23.0,2,0,0,27,23,1,7,13,11,,,0,Matches
Gradit Jonathan,frFRA,2.0,Lens,30,1992,23.5,9,1,0,31,26,0,17,36,20,,,0,Matches
Grandsir Samuel,frFRA,3.0,Le Havre,26,1996,6.7,4,2,1,18,5,4,44,3,12,,,0,Matches
Grbić Adrian,atAUT,3.5,Lorient,26,1996,0.3,0,0,0,0,0,0,1,0,0,,,0,Matches
Gudmundsson Gabriel,seSWE,2.4,Lille,24,1999,14.1,2,0,0,21,19,4,34,16,16,,,0,Matches
Gueguin Axel,frFRA,2.0,Montpellier,18,2005,1.5,0,0,0,0,3,0,2,2,4,,,0,Matches
Guendouzi Mattéo,frFRA,3.0,Marseille,24,1999,0.2,0,0,0,0,1,0,1,0,0,,,0,Matches
Guessand Evann,ciCIV,4.0,Nice,22,2001,17.3,1,0,0,32,47,5,11,12,8,,,0,Matches
Gueye Pape,snSEN,2.4,Marseille,24,1999,8.5,2,0,0,20,18,1,9,13,21,,,0,Matches
Guilavogui Morgan,gnGUI,4.0,Lens,25,1998,6.3,1,0,0,14,7,7,5,5,10,,,0,Matches
Guilbert Frederic,frFRA,2.3,Strasbourg,28,1994,27.7,3,0,0,35,15,2,85,66,51,,,0,Matches
