player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Barbieri Tommaso,itITA,3.0,Juventus,19,2002,1.2,0,0,0,5,4,0,7,0,3,,,0,Matches
Bardi Francesco,itITA,1.0,Bologna,30,1992,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Barella Nicolò,itITA,3.0,Inter,25,1997,29.0,6,0,0,33,45,8,86,13,25,,,0,Matches
Barrenechea Enzo,arARG,3.0,Juventus,21,2001,1.8,0,0,0,3,1,0,0,2,3,,,0,Matches
Barrow Musa,gmGAM,3.4,Bologna,23,1998,21.8,3,0,0,20,19,5,103,1,7,,,0,Matches
Baschirotto Federico,itITA,2.0,Lecce,25,1996,37.0,6,0,0,37,11,0,14,35,30,,,0,Matches
Bašić Toma,hrCRO,3.0,Lazio,25,1996,5.7,2,0,0,12,17,1,20,6,6,,,0,Matches
Basso Alberto,itITA,4.0,Cremonese,18,2004,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Bastoni Alessandro,itITA,2.0,Inter,23,1999,24.0,3,0,0,19,15,1,49,24,21,,,0,Matches
Bastoni Simone,itITA,2.4,Spezia,25,1996,13.2,7,0,0,29,12,2,103,9,24,,,0,Matches
Bayeye Brian,cdCOD,3.0,Torino,22,2000,0.7,0,0,0,1,1,0,2,1,0,,,0,Matches
Becão Rodrigo,brBRA,2.0,Udinese,26,1996,27.6,11,1,0,38,32,6,19,23,40,,,1,Matches
Beck Julius,dkDEN,3.0,Spezia,17,2005,0.1,0,0,0,1,0,0,0,0,1,,,0,Matches
Bellanova Raoul,itITA,3.0,Inter,22,2000,5.5,0,0,0,4,9,2,33,7,8,,,0,Matches
Belotti Andrea,itITA,4.0,Roma,28,1993,12.7,0,0,0,21,35,7,6,3,5,,,0,Matches
Benassi Marco,itITA,2.0,Fiorentina,27,1994,1.0,0,0,0,1,1,0,7,1,3,,,0,Matches
Benassi Marco,itITA,3.0,Cremonese,27,1994,11.1,1,0,0,10,6,0,24,11,16,,,0,Matches
Bennacer Ismaël,dzALG,3.0,Milan,24,1997,22.3,5,0,0,36,25,1,78,26,31,,,0,Matches
Berardi Domenico,itITA,3.5,Sassuolo,27,1994,20.7,7,0,0,33,49,8,84,18,14,,,0,Matches
Bereszyński Bartosz,plPOL,2.3,Sampdoria,30,1992,13.3,1,0,0,13,10,0,31,20,18,,,0,Matches
Bereszyński Bartosz,plPOL,2.0,Napoli,30,1992,1.8,1,0,0,3,2,0,0,3,2,,,0,Matches
Bertini Marco,itITA,3.0,Lazio,19,2002,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Beto,gwGNB,4.0,Udinese,24,1998,23.7,2,0,0,36,26,9,9,6,8,,,0,Matches
Bianchetti Matteo,itITA,2.0,Cremonese,29,1993,23.7,5,0,0,18,10,0,3,20,17,,,0,Matches
Bianco Alessandro,itITA,3.0,Fiorentina,19,2002,1.7,1,0,0,7,4,0,1,0,2,,,0,Matches
Bijol Jaka,siSVN,2.0,Udinese,23,1999,30.3,10,0,0,29,7,0,1,30,22,,,0,Matches
Biraghi Cristiano,itITA,2.0,Fiorentina,29,1992,28.3,1,0,0,29,38,1,303,14,41,,,1,Matches
Birindelli Samuele,itITA,3.0,Monza,23,1999,15.6,8,0,0,15,14,2,70,16,20,,,0,Matches
Bistrović Kristijan,hrCRO,3.0,Lecce,24,1998,5.1,0,0,0,2,4,1,21,0,1,,,0,Matches
Blin Alexis,frFRA,3.0,Lecce,25,1996,26.4,8,0,0,47,31,1,29,36,38,,,0,Matches
Boga Jeremie,ciCIV,3.4,Atalanta,25,1997,8.7,0,0,0,4,17,1,54,1,4,,,0,Matches
Bohinen Emil,noNOR,3.0,Salernitana,23,1999,9.2,0,0,0,15,13,1,3,21,14,,,0,Matches
Bonaventura Giacomo,itITA,3.0,Fiorentina,32,1989,21.2,4,1,0,24,40,2,47,15,22,,,0,Matches
Bonazzoli Federico,itITA,4.0,Salernitana,25,1997,12.4,1,0,0,18,32,6,4,3,3,,,0,Matches
Bondo Warren,frFRA,3.0,Monza,18,2003,0.7,1,0,0,2,3,0,0,0,0,,,0,Matches
Bonifazi Kevin,itITA,2.0,Bologna,26,1996,10.0,2,0,0,6,1,1,2,12,8,,,0,Matches
Bonucci Leonardo,itITA,2.0,Juventus,35,1987,9.8,2,0,0,11,5,1,0,15,3,,,0,Matches
Botheim Erik,noNOR,3.4,Salernitana,22,2000,9.6,2,0,0,12,11,3,5,0,7,,,0,Matches
Bourabia Mehdi,maMAR,3.0,Spezia,30,1991,30.8,3,0,0,33,18,1,64,31,22,,,0,Matches
Bove Edoardo,itITA,2.4,Roma,20,2002,11.0,2,0,0,24,23,1,9,8,19,,,0,Matches
Braaf Jayden,nlNED,3.0,Hellas Verona,19,2002,3.2,1,0,0,8,1,3,5,2,3,,,0,Matches
Bradarić Domagoj,hrCRO,2.4,Salernitana,22,1999,25.0,5,0,0,17,20,4,68,20,20,,,0,Matches
Brekalo Josip,hrCRO,3.0,Fiorentina,24,1998,2.5,1,0,0,3,5,0,9,1,1,,,0,Matches
Bremer Gleison,brBRA,2.0,Juventus,25,1997,29.3,6,0,0,29,11,1,0,39,21,,,0,Matches
Bronn Dylan,tnTUN,2.0,Salernitana,27,1995,18.7,5,1,0,28,10,0,7,20,18,,,0,Matches
Brozović Marcelo,hrCRO,3.0,Inter,29,1992,19.7,8,0,0,24,13,0,44,22,21,,,0,Matches
Buonaiuto Cristian,itITA,3.4,Cremonese,29,1992,10.9,3,0,0,17,22,2,69,13,16,,,0,Matches
Buongiorno Alessandro,itITA,2.0,Torino,23,1999,30.2,8,0,0,63,38,0,8,65,25,,,0,Matches
Buta Leonardo,ptPOR,2.0,Udinese,20,2002,0.2,0,0,0,0,0,0,2,0,1,,,0,Matches
Cabral Arthur,brBRA,4.0,Fiorentina,24,1998,15.9,4,0,0,26,19,2,4,1,3,,,0,Matches
Cacace Liberato,nzNZL,2.0,Empoli,21,2000,6.5,1,0,0,9,4,0,28,3,12,,,0,Matches
Calabria Davide,itITA,2.0,Milan,25,1996,18.8,6,0,0,16,15,1,40,25,44,,,0,Matches
Caldara Mattia,itITA,2.0,Spezia,28,1994,13.9,6,0,0,16,10,1,1,17,15,,,1,Matches
Caldirola Luca,itITA,2.0,Monza,31,1991,26.1,6,0,0,31,26,0,5,28,14,,,0,Matches
Çalhanoğlu Hakan,trTUR,3.0,Inter,28,1994,26.3,3,0,0,47,26,2,168,24,27,,,0,Matches
Camara Mohamed,gnGUI,3.0,Roma,25,1997,7.7,3,0,0,15,7,0,6,10,10,,,0,Matches
Cambiaghi Nicolò,itITA,3.5,Empoli,21,2000,14.3,5,1,1,26,60,1,42,9,22,,,0,Matches
Cambiaso Andrea,itITA,2.3,Bologna,22,2000,24.1,2,0,0,26,30,5,56,28,35,,,0,Matches
Cancellieri Matteo,itITA,4.0,Lazio,20,2002,2.8,4,0,0,14,10,5,7,1,4,,,0,Matches
Candreva Antonio,itITA,3.0,Salernitana,35,1987,30.3,3,1,1,7,36,10,221,18,8,,,0,Matches
Caprari Gianluca,itITA,3.4,Monza,29,1993,27.1,7,0,0,34,50,9,77,8,7,,,0,Matches
Caputo Francesco,itITA,4.0,Sampdoria,34,1987,12.2,0,0,0,5,24,11,3,1,1,,,0,Matches
Caputo Francesco,itITA,4.0,Empoli,34,1987,19.0,1,0,0,13,22,23,6,2,2,,,0,Matches
Carboni Andrea,itITA,2.0,Monza,21,2001,1.9,0,0,0,1,1,0,5,3,2,,,0,Matches
Carboni Franco,itITA,3.0,Monza,19,2003,0.7,0,0,0,2,0,0,9,1,1,,,0,Matches
Carboni Valentin,arARG,3.0,Inter,17,2005,0.3,0,0,0,0,3,0,1,0,1,,,0,Matches
Carnesecchi Marco,itITA,1.0,Cremonese,22,2000,27.0,1,0,0,0,5,0,0,0,1,,,0,Matches
Casale Nicolò,itITA,2.0,Lazio,24,1998,27.1,6,0,0,22,7,0,0,17,23,,,0,Matches
Cassandro Tommaso,itITA,2.3,Lecce,22,2000,0.1,0,0,0,1,0,0,0,0,1,,,0,Matches
Castagnetti Michele,itITA,3.0,Cremonese,32,1989,15.7,2,0,0,16,12,0,38,15,24,,,0,Matches
Castrovilli Gaetano,itITA,3.0,Fiorentina,25,1997,8.0,3,0,0,12,12,1,12,6,8,,,0,Matches
Cataldi Danilo,itITA,3.0,Lazio,27,1994,21.3,5,0,0,12,20,0,44,25,16,,,0,Matches
