player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Djidji Koffi,ciCIV,2.0,Torino,29,1992,26.9,,26,,,,,,,,,,,33,,,,Matches
Djimsiti Berat,alALB,2.0,Atalanta,29,1993,20.0,,20,,,,,,,,,,,39,,,,Matches
Dodô,brBRA,2.0,Fiorentina,23,1998,25.9,,22,,,,,,,,,,,24,,,,Matches
Doig Josh,sctSCO,3.0,Hellas Verona,20,2002,15.0,,8,,,,,,,,,,,11,,,,Matches
Domínguez Nicolás,arARG,3.0,Bologna,24,1998,25.6,,48,,,,,,,,,,,22,,,,Matches
Donati Giulio,itITA,2.3,Monza,32,1990,4.7,,2,,,,,,,,,,,5,,,,Matches
Drągowski Bartłomiej,plPOL,1.0,Spezia,24,1997,32.7,,0,,,,,,,,,,,1,,,,Matches
Duda Ondrej,skSVK,3.0,Hellas Verona,27,1994,11.8,,14,,,,,,,,,,,12,,,,Matches
Dumfries Denzel,nlNED,3.0,Inter,26,1996,24.6,,20,,,,,,,,,,,12,,,,Matches
Duncan Alfred,ghGHA,3.0,Fiorentina,29,1993,12.3,,10,,,,,,,,,,,8,,,,Matches
Dybala Paulo,arARG,3.4,Roma,28,1993,19.3,,4,,,,,,,,,,,7,,,,Matches
Džeko Edin,baBIH,4.0,Inter,36,1986,19.2,,3,,,,,,,,,,,4,,,,Matches
Ebosele Festy,ieIRL,3.0,Udinese,19,2002,4.6,,10,,,,,,,,,,,2,,,,Matches
Ebosse Enzo,cmCMR,2.3,Udinese,23,1999,10.3,,9,,,,,,,,,,,12,,,,Matches
Ebuehi Tyronne,ngNGA,2.0,Empoli,26,1995,21.4,,13,,,,,,,,,,,12,,,,Matches
Éderson,brBRA,3.0,Atalanta,23,1999,24.6,,37,,,,,,,,,,,34,,,,Matches
Ehizibue Kingsley,nlNED,3.0,Udinese,27,1995,17.1,,31,,,,,,,,,,,10,,,,Matches
Ekdal Albin,seSWE,3.0,Spezia,33,1989,19.3,,24,,,,,,,,,,,27,,,,Matches
Ekong Emmanuel,seSWE,4.0,Empoli,20,2002,0.2,,0,,,,,,,,,,,0,,,,Matches
Ellertsson Mikael,isISL,3.0,Spezia,20,2002,1.9,,2,,,,,,,,,,,2,,,,Matches
Elmas Elif,mkMKD,3.4,Napoli,22,1999,18.1,,17,,,,,,,,,,,8,,,,Matches
Erlic Martin,hrCRO,2.0,Sassuolo,24,1998,25.9,,17,,,,,,,,,,,28,,,,Matches
Escalante Gonzalo,arARG,3.0,Cremonese,29,1993,6.2,,8,,,,,,,,,,,10,,,,Matches
Esposito Salvatore,itITA,3.0,Spezia,21,2000,10.8,,12,,,,,,,,,,,12,,,,Matches
Fagioli Nicolò,itITA,3.0,Juventus,21,2001,16.9,,18,,,,,,,,,,,8,,,,Matches
Falcone Wladimiro,itITA,1.0,Lecce,27,1995,38.0,,0,,,,,,,,,,,2,,,,Matches
Faraoni Davide,itITA,2.4,Hellas Verona,30,1991,16.5,,23,,,,,,,,,,,14,,,,Matches
Fazio Federico,arARG,2.0,Salernitana,35,1987,11.9,,12,,,,,,,,,,,28,,,,Matches
Fazzini Jacopo,itITA,3.0,Empoli,19,2003,9.2,,17,,,,,,,,,,,7,,,,Matches
Ferguson Lewis,sctSCO,3.0,Bologna,22,1999,25.7,,26,,,,,,,,,,,16,,,,Matches
Ferrari Alex,itITA,2.0,Sampdoria,28,1994,9.6,,6,,,,,,,,,,,20,,,,Matches
Ferrari Alex,itITA,2.0,Cremonese,28,1994,11.2,,24,,,,,,,,,,,25,,,,Matches
Ferrer Salvador,esESP,3.0,Spezia,24,1998,1.5,,2,,,,,,,,,,,1,,,,Matches
Fiorillo Vincenzo,itITA,1.0,Salernitana,32,1990,1.0,,0,,,,,,,,,,,0,,,,Matches
Florenzi Alessandro,itITA,2.0,Milan,31,1991,2.3,,3,,,,,,,,,,,4,,,,Matches
Frattesi Davide,itITA,3.0,Sassuolo,22,1999,31.9,,33,,,,,,,,,,,16,,,,Matches
Gabbia Matteo,itITA,2.0,Milan,22,1999,6.8,,9,,,,,,,,,,,4,,,,Matches
Gabbiadini Manolo,itITA,3.5,Sampdoria,30,1991,26.2,,15,,,,,,,,,,,6,,,,Matches
Gaetano Gianluca,itITA,3.0,Napoli,22,2000,0.8,,3,,,,,,,,,,,1,,,,Matches
Gagliardini Roberto,itITA,3.0,Inter,28,1994,8.7,,5,,,,,,,,,,,4,,,,Matches
Gaich Adolfo,arARG,4.0,Hellas Verona,23,1999,8.1,,4,,,,,,,,,,,4,,,,Matches
Galdames Millán Pablo,clCHI,3.0,Cremonese,25,1996,8.2,,9,,,,,,,,,,,10,,,,Matches
Gallo Antonino,itITA,2.0,Lecce,22,2000,27.6,,36,,,,,,,,,,,10,,,,Matches
Gatti Federico,itITA,2.0,Juventus,24,1998,16.1,,11,,,,,,,,,,,20,,,,Matches
Gendrey Valentin,frFRA,2.0,Lecce,22,2000,34.5,,57,,,,,,,,,,,37,,,,Matches
Ghiglione Paolo,itITA,3.0,Cremonese,25,1997,7.9,,11,,,,,,,,,,,4,,,,Matches
Gila Mario,esESP,2.0,Lazio,21,2000,1.0,,1,,,,,,,,,,,3,,,,Matches
Gineitis Gvidas,ltLTU,3.0,Torino,18,2004,1.5,,1,,,,,,,,,,,0,,,,Matches
Giroud Olivier,frFRA,4.0,Milan,35,1986,23.8,,5,,,,,,,,,,,1,,,,Matches
Gollini Pierluigi,itITA,1.0,Fiorentina,27,1995,3.0,,0,,,,,,,,,,,0,,,,Matches
Gollini Pierluigi,itITA,1.0,Napoli,27,1995,4.0,,0,,,,,,,,,,,0,,,,Matches
Gonzàlez Joan,esESP,3.0,Lecce,20,2002,24.4,,28,,,,,,,,,,,18,,,,Matches
González Nicolás,arARG,3.5,Fiorentina,24,1998,15.0,,9,,,,,,,,,,,4,,,,Matches
Gosens Robin,deGER,3.0,Inter,28,1994,13.2,,19,,,,,,,,,,,23,,,,Matches
Grassi Alberto,itITA,3.0,Empoli,27,1995,13.3,,22,,,,,,,,,,,24,,,,Matches
Gravillon Andrew,gpGLP,2.0,Torino,24,1998,3.5,,3,,,,,,,,,,,8,,,,Matches
Guessand Axel,frFRA,2.0,Udinese,17,2004,0.9,,1,,,,,,,,,,,2,,,,Matches
Günter Koray,deGER,2.0,Hellas Verona,27,1994,11.1,,6,,,,,,,,,,,30,,,,Matches
Günter Koray,deGER,2.0,Sampdoria,27,1994,8.6,,8,,,,,,,,,,,10,,,,Matches
Gyasi Emmanuel,ghGHA,3.5,Spezia,28,1994,31.2,,17,,,,,,,,,,,8,,,,Matches
Gyömbér Norbert,skSVK,2.0,Salernitana,30,1992,19.3,,24,,,,,,,,,,,34,,,,Matches
Gytkjær Christian,dkDEN,4.0,Monza,32,1990,6.2,,2,,,,,,,,,,,0,,,,Matches
Haas Nicolas,chSUI,3.0,Empoli,26,1996,12.8,,13,,,,,,,,,,,8,,,,Matches
Handanović Samir,siSVN,1.0,Inter,38,1984,13.7,,0,,,,,,,,,,,0,,,,Matches
Harroui Abdou,nlNED,3.0,Sassuolo,24,1998,7.2,,6,,,,,,,,,,,3,,,,Matches
